Code,Currency,Sell,Buy
USD,US Dollar,55550,55450
EUR,Euro,59900,59800
GBP,British Pound,70200,70000
CHF,Swiss Franc,63500,63400
CAD,Canadian Dollar,41250,41150
AUD,Australian Dollar,36200,36100
SEK,Swedish Krona,5310,5295
NOK,Norwegian Krone,5260,5245
RUB,Russian Ruble,610,605
THB,Thai Baht,1545,1540
SGD,Singapore Dollar,41250,41150
HKD,Hong Kong Dollar,7100,7070
AZN,Azerbaijani Manat,32050,31950
AMD,10Armenian Dram,1375,1370
DKK,Danish Krone,8035,8015
AED,UAE Dirham,15200,15150
JPY,10Japanese Yen,3720,3710
TRY,Turkish Lira,1810,1790
CNY,Chinese Yuan,7735,7715
SAR,KSA Riyal,14800,14700
INR,Indian Rupee,670,665
MYR,Ringgit,11650,11550
AFN,Afghan Afghani,755,750
KWD,Kuwaiti Dinar,180400,180000
IQD,100Iraqi Dinar,4240,4230
BHD,Bahraini Dinar,147350,146850
OMR,Omani Rial,144300,144000
QAR,Qatari Riyal,15250,15150
